num_topics,coherence,silhouette,num_tokens,ngram_range,min_topic_size,n_neighbors,n_components
3,0.387295298882858,0.0071069943,6,"(1, 2)",18,12,2
24,0.44095009080037634,-0.021694137,6,"(1, 2)",18,12,6
3,0.4008905590326639,0.0054871254,6,"(1, 2)",18,16,2
22,0.4400693633653154,-0.018586574,6,"(1, 2)",18,16,6
4,0.42522295065773397,-0.0031511914,6,"(1, 2)",20,4,2
19,0.44341550373451355,-0.024344819,6,"(1, 2)",20,4,6
3,0.44076687208374815,0.0037997614,6,"(1, 2)",20,8,2
19,0.40124389961740237,-0.016124712,6,"(1, 2)",20,8,6
3,0.40061845272154484,0.007556365,6,"(1, 2)",20,12,2
21,0.429534341852166,-0.02472013,6,"(1, 2)",20,12,6
3,0.47520124669075137,0.0054781847,6,"(1, 2)",20,16,2
20,0.4347657378186421,-0.02428005,6,"(1, 2)",20,16,6
3,0.6365664538967218,-0.0026724753,7,"(1, 1)",10,4,2
56,0.39499741144426864,-0.025857603,7,"(1, 1)",10,4,6
49,0.40807025503180533,-0.023673594,7,"(1, 1)",10,8,2
